Latitude,Longitude,Positive,Negative,Mixed,Neutral,Count,Sentiment
39,-90,0.097245382,0.326719896,0.010396421,0.565638305,40,NEUTRAL
39,-89,0.048318666,0.422461394,0.005665808,0.523554156,26,NEUTRAL
39,-88,0.015001767,0.703899499,0.009611574,0.271487194,40,NEGATIVE
39,-87,0.151877622,0.095566352,0.013049702,0.739506325,40,NEUTRAL
39,-86,0.158159817,0.102132908,0.020072318,0.719634952,40,NEUTRAL
39,-85,0.142629428,0.215926817,0.026606328,0.61483744,40,NEUTRAL
39,-84,0.164133787,0.262666016,0.002048998,0.571151215,40,NEUTRAL
39,-83,0.098256008,0.341621494,0.017752541,0.542369958,38,NEUTRAL
39,-82,0.162492492,0.158490184,0.040715857,0.638301465,40,NEUTRAL
39,-81,0.081144275,0.251407319,0.073362299,0.594086092,26,NEUTRAL
39,-80,0.167660146,0.219020823,0.043342426,0.569976607,40,NEUTRAL
39,-79,0.179268674,0.254882026,0.048471214,0.517378078,40,NEUTRAL
39,-78,0.186679684,0.338232713,0.01043422,0.464653393,39,NEUTRAL
39,-77,0.075853098,0.270868533,0.048011131,0.605267246,40,NEUTRAL
39,-76,0.13290586,0.229108853,0.005434849,0.632550435,40,NEUTRAL
39,-75,0.160686139,0.186212431,0.00452774,0.648573684,40,NEUTRAL
39,-74,0.138584559,0.322461382,0.028275123,0.510678929,494,NEUTRAL
41,-99,0.160586883,0.223476482,0.012034184,0.603902449,40,NEUTRAL
41,-98,0.202997947,0.212406982,0.017146995,0.567448073,40,NEUTRAL
41,-97,0.203763042,0.230220273,0.051921371,0.514095294,40,NEUTRAL
41,-96,0.115451957,0.320438044,0.032620536,0.531489457,40,NEUTRAL
41,-95,0.040531554,0.282815133,0.001837373,0.674815924,40,NEUTRAL
41,-94,0.254194462,0.149128222,0.019101001,0.577576315,14,NEUTRAL
41,-93,0.099770041,0.196704806,0.05476871,0.648756463,22,NEUTRAL
41,-92,0.224668364,0.03179625,0.000177086,0.743358314,7,NEUTRAL
41,-91,0.085321483,0.190699202,0.046259009,0.677720289,40,NEUTRAL
41,-90,0.064469229,0.213504057,0.008381896,0.713644823,40,NEUTRAL
41,-89,0.073655359,0.225509355,0.018431959,0.682403317,40,NEUTRAL
41,-88,0.043422408,0.004531098,0.000587751,0.951458693,40,NEUTRAL
41,-87,0.086486533,0.233152525,0.04782318,0.632537756,40,NEUTRAL
41,-86,0.037934641,0.285889279,0.01961996,0.656556128,40,NEUTRAL
41,-85,0.034892637,0.290273027,0.003509908,0.671324444,40,NEUTRAL
41,-84,0.109779118,0.501383084,0.011377837,0.377459972,40,NEGATIVE
41,-83,0.280346702,0.182958844,0.015858342,0.520836124,40,NEUTRAL
41,-82,0.186134611,0.34176362,0.035599322,0.436502456,40,NEUTRAL
41,-81,0.092587549,0.284665609,0.04332547,0.579421367,40,NEUTRAL
41,-80,0.142874419,0.341065194,0.041867985,0.474192406,40,NEUTRAL
41,-79,0.187805228,0.29492444,0.00711292,0.510157409,29,NEUTRAL
41,-78,0.269681017,0.193318754,0.090219084,0.446781145,38,NEUTRAL
41,-77,0.195296141,0.199574461,0.030505396,0.574624007,40,NEUTRAL
41,-76,0.078183011,0.432862413,0.018534512,0.470420047,36,NEUTRAL
41,-75,0.1319134,0.186255223,0.01359785,0.668233531,34,NEUTRAL
41,-74,0.073221688,0.40019255,0.005030777,0.521555011,40,NEUTRAL
41,-73,0.043120189,0.210070084,0.01137411,0.735435609,40,NEUTRAL
41,-72,0.098961741,0.327046143,0.100970218,0.473021882,40,NEUTRAL
41,-71,0.094688191,0.222948815,0.023215,0.65914799,147,NEUTRAL
42,-99,0.097395537,0.122044939,0.00732433,0.773235192,6,NEUTRAL
42,-98,0.276527017,0.060225751,0.000443926,0.662803411,1,NEUTRAL
42,-97,0.095048199,0.195764558,0.000237438,0.708949814,3,NEUTRAL
42,-96,0.078361455,0.352436153,0.001995264,0.567207147,8,NEUTRAL
42,-95,0.007986245,0.048380389,0.001599852,0.942033538,7,NEUTRAL
42,-94,0.139744537,0.21440567,0.032068949,0.613780868,40,NEUTRAL
42,-93,0.194648592,0.240532892,0.028982027,0.535836478,40,NEUTRAL
42,-92,0.094610373,0.16242379,0.024701254,0.71826458,40,NEUTRAL
42,-91,0.090137647,0.173855613,0.01323314,0.72277361,40,NEUTRAL
42,-90,0.057303652,0.186426935,0.063573022,0.692696372,29,NEUTRAL
42,-89,0.098260258,0.227653422,0.014971709,0.659114616,40,NEUTRAL
42,-88,0.117378626,0.28432238,0.038327989,0.559971003,40,NEUTRAL
42,-87,0.108571968,0.328681249,0.040734521,0.522012263,40,NEUTRAL
